,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
358,Knysna,-34.0363,23.0471,9.21,64,37,2.76,ZA,1624066928
359,Mollendo,-17.0231,-72.0147,16.88,90,32,4.22,PE,1624066929
360,Nizhnevartovsk,60.9344,76.5531,6.01,81,90,6.0,RU,1624066929
361,Kryvyi Rih,47.9167,33.35,16.49,94,4,2.0,UA,1624066929
362,Bacungan,9.9106,118.7022,28.03,83,75,2.06,PH,1624066929
363,Bowen,-20.0167,148.2333,21.12,30,2,2.87,AU,1624066930
364,Lüderitz,-26.6481,15.1594,20.37,36,0,3.74,NA,1624066792
365,Carnarvon,-24.8667,113.6333,14.04,43,0,4.63,AU,1624066802
366,Tilichiki,60.4667,166.1,7.71,75,100,2.89,RU,1624066930
367,Wenatchee,47.4235,-120.3103,33.22,18,1,1.34,US,1624066928
368,Son La,21.3167,103.9,28.21,60,12,1.79,VN,1624066931
369,Moyale,3.5167,39.0584,18.31,78,99,5.39,KE,1624066931
370,Belle Fourche,44.6714,-103.8522,28.36,27,0,5.17,US,1624066931
371,Caçu,-18.5567,-51.1308,19.88,43,1,0.99,BR,1624066932
372,Mount Gambier,-37.8333,140.7667,11.95,94,98,5.14,AU,1624066932
373,Oneonta,42.4529,-75.0638,21.79,85,100,4.95,US,1624066932
374,Salihorsk,52.7876,27.5415,14.51,94,4,3.1,BY,1624066933
375,Kemijärvi,66.7131,27.4306,9.59,92,15,3.95,FI,1624066933
376,Verkhnyaya Inta,65.9811,60.3094,8.4,87,100,2.18,RU,1624066933
377,Tuatapere,-46.1333,167.6833,9.34,61,0,1.77,NZ,1624066811
378,Cockburn Town,21.4612,-71.1419,27.29,86,93,10.73,TC,1624066934
379,Kununurra,-15.7667,128.7333,24.99,23,100,7.2,AU,1624066795
380,Harrison,30.4091,-89.0436,24.04,95,90,6.69,US,1624066767
381,Half Moon Bay,37.4636,-122.4286,37.62,63,1,0.45,US,1624066808
382,Muli,2.9167,73.5667,28.9,72,35,5.24,MV,1624066757
383,Havre-St-Pierre,50.2334,-63.5986,16.2,72,90,1.54,CA,1624066934
384,Batagay,67.6333,134.6333,27.04,26,100,1.54,RU,1624066935
385,Yangi Marg`ilon,40.4272,71.7189,21.68,37,0,3.09,UZ,1624066761
386,Catalão,-18.1658,-47.9464,17.08,42,67,2.57,BR,1624066935
387,Sūsangerd,31.5608,48.1831,30.01,18,0,4.86,IR,1624066935
388,Dudinka,69.4058,86.1778,7.45,56,100,5.82,RU,1624066936
389,Kabalo,-6.05,26.9167,21.67,50,97,1.48,CD,1624066936
390,Karratha,-20.7377,116.8463,20.15,46,0,8.11,AU,1624066936
391,Mācherla,16.4833,79.4333,28.58,60,100,8.1,IN,1624066936
392,Bellavista,-7.0561,-76.5911,23.6,94,60,0.58,PE,1624066937
393,Flinders,-34.5833,150.8552,15.6,84,100,10.79,AU,1624066755
394,Terrace,54.5163,-128.6035,15.95,63,75,4.12,CA,1624066787
395,Krasnosel'kup,65.7,82.4667,4.84,94,100,10.43,RU,1624066937
396,Georgiyevka,43.0369,74.7114,22.02,37,0,5.0,KZ,1624066937
397,Oktyabr'skoye,43.0645,44.7417,13.08,100,5,3.0,RU,1624066938
398,Uthal,25.8072,66.6219,28.26,80,23,2.98,PK,1624066938
399,Chu,43.5983,73.7614,24.66,26,61,5.61,KZ,1624066938
400,Derzhavīnsk,51.1,66.3167,12.96,47,0,7.02,KZ,1624066939
401,Horizontina,-27.6258,-54.3078,11.43,80,98,1.94,BR,1624066939
402,Dunedin,-45.8742,170.5036,8.69,75,100,1.65,NZ,1624066667
403,Acaraú,-2.8856,-40.12,24.83,85,50,4.65,BR,1624066939
404,Zhuhai,22.2769,113.5678,32.62,79,40,6.17,CN,1624066940
405,Fayaoué,-20.65,166.5333,25.16,81,26,4.66,NC,1624066940
406,Santa Rosa,14.3122,121.1114,32.27,65,76,4.25,PH,1624066940
407,Shaunavon,49.6501,-108.4181,21.88,44,12,2.41,CA,1624066941
408,Biak,-0.9131,122.8766,27.83,69,67,1.69,ID,1624066941
409,Verkhoyansk,67.5447,133.385,27.43,26,100,2.12,RU,1624066823
410,Sola,-13.8833,167.55,27.52,72,7,5.66,VU,1624066941
411,Kamaishi,39.2667,141.8833,18.53,89,100,3.24,JP,1624066942
412,Kiryat Gat,31.61,34.7642,20.78,81,0,1.25,IL,1624066942
413,Prymors'k,46.7348,36.3443,18.54,87,8,4.26,UA,1624066942
414,Alta Floresta,-9.8756,-56.0861,24.86,57,96,0.25,BR,1624066942
415,Kupino,54.3663,77.2981,7.71,86,100,7.54,RU,1624066943
416,Båtsfjord,70.6345,29.7185,7.0,96,100,4.13,NO,1624066943
417,Deputatsky,69.3,139.9,23.22,29,100,1.72,RU,1624066812
418,Ternate,0.8,127.4,28.67,69,30,1.72,ID,1624066944
419,Paso de los Toros,-32.8167,-56.5167,7.88,75,94,3.29,UY,1624066944
420,Loudi,27.7344,111.9944,23.91,83,100,1.59,CN,1624066944
421,Cap Malheureux,-19.9842,57.6142,20.26,78,9,2.24,MU,1624066944
422,Spirit River,55.7833,-118.8361,19.29,70,71,0.84,CA,1624066945
423,Itiruçu,-13.5317,-40.1503,14.39,98,64,1.32,BR,1624066945
424,Butterworth,5.3991,100.3638,29.44,82,20,0.89,MY,1624066945
425,Avera,33.194,-82.5271,29.93,49,100,3.92,US,1624066642
426,Thabazimbi,-24.5917,27.4116,10.48,83,2,1.55,ZA,1624066946
427,Qaryat Sulūq,31.6682,20.2521,20.06,77,0,3.48,LY,1624066946
428,Taltal,-25.4,-70.4833,15.49,74,0,2.34,CL,1624066946
429,Tegul'det,57.3064,88.1667,22.03,74,91,3.53,RU,1624066801
430,Adrar,20.5022,-10.0711,27.63,19,5,5.65,MR,1624066947
431,Choix,26.7092,-108.3219,32.61,42,2,2.2,MX,1624066947
432,Kuusamo,65.9667,29.1833,12.02,87,75,6.17,FI,1624066948
433,Cândido Mendes,-1.4467,-45.7167,23.19,95,31,2.12,BR,1624066948
434,Vitória da Conquista,-14.8661,-40.8394,15.85,84,74,3.47,BR,1624066948
435,Santa Rosa de Viterbo,-21.4728,-47.3631,19.26,64,28,1.64,BR,1624066949
436,Tsimmerbude,54.675,20.1347,17.03,80,0,3.87,RU,1624066949
437,Lagos,6.5833,3.75,27.18,89,100,1.6,NG,1624066704
438,Caxito,-8.5785,13.6643,23.36,97,10,1.36,AO,1624066949
439,Kawalu,-7.3817,108.2082,25.73,82,100,0.4,ID,1624066808
440,Belmonte,-15.8631,-38.8828,24.28,87,71,3.78,BR,1624066950
441,Mazyr,52.0495,29.2456,14.74,96,0,2.83,BY,1624066950
442,Iwanai,42.9744,140.5089,20.14,63,100,1.49,JP,1624066950
443,Teluknaga,-6.0989,106.6381,29.23,89,75,2.06,ID,1624066951
444,Westport,41.1415,-73.3579,25.42,74,1,1.34,US,1624066951
445,Ribas do Rio Pardo,-20.4431,-53.7592,16.4,80,43,1.99,BR,1624066951
446,Caravelas,-17.7125,-39.2481,20.9,88,100,4.46,BR,1624066951
447,Tangjiazhuang,39.7333,118.45,32.0,15,0,7.8,CN,1624066952
448,Omboué,-1.5746,9.2618,23.78,89,9,3.26,GA,1624066952
449,Talara,-4.5772,-81.2719,20.04,86,8,7.55,PE,1624066952
450,Maracaçumé,-2.0428,-45.9592,22.35,99,30,1.27,BR,1624066953
451,Berlevåg,70.8578,29.0864,6.41,92,100,3.63,NO,1624066953
452,Sivaki,52.6333,126.75,17.44,81,100,6.58,RU,1624066953
453,Ubinskoye,55.3068,79.6802,9.4,98,100,5.69,RU,1624066954
454,San Calixto,8.4021,-73.2074,15.47,97,100,0.95,CO,1624066954
455,Yulara,-25.2406,130.9889,11.91,47,88,6.17,AU,1624066748
456,Broken Hill,-31.95,141.4333,9.84,87,90,7.2,AU,1624066773
457,Bafra,41.5678,35.9069,17.88,81,0,1.97,TR,1624066829
458,Promyshlennyy,67.5833,63.9167,5.52,73,96,4.77,RU,1624066955
459,Astara,38.5,48.6667,15.39,33,0,1.73,AZ,1624066955
460,Kruisfontein,-34.0033,24.7314,10.61,81,37,3.34,ZA,1624066779
461,Coyhaique,-45.5752,-72.0662,-4.03,93,0,3.09,CL,1624066453
462,Rundu,-17.9333,19.7667,9.72,50,0,2.23,NA,1624066955
463,Bonthe,7.5264,-12.505,24.82,89,98,2.27,SL,1624066956
464,Doha,25.2867,51.5333,32.99,28,0,5.14,QA,1624066956
465,Beloha,-25.1667,45.05,16.78,88,8,2.73,MG,1624066956
466,Harper,4.375,-7.7169,25.47,82,72,3.59,LR,1624066957
467,Chadan,51.2833,91.5833,20.91,43,7,1.66,RU,1624066957
468,Krasnoarmeysk,51.0239,45.6969,13.97,85,7,2.89,RU,1624066957
469,Boden,65.8252,21.6886,10.0,65,12,3.55,SE,1624066958
470,Santa Cruz de la Sierra,-17.8,-63.1667,10.7,87,90,3.09,BO,1624066958
471,Santa Vitória do Palmar,-33.5189,-53.3681,9.57,90,5,2.22,BR,1624066799
472,Daokou,35.5639,114.5058,31.58,32,100,3.28,CN,1624066958
473,Tazmalt,36.3868,4.3989,24.19,59,87,3.13,DZ,1624066958
474,Nelson Bay,-32.7167,152.15,16.11,74,100,1.34,AU,1624066959
475,Murgab,37.4966,61.9714,21.93,46,0,2.06,TM,1624066959
476,Dawei,14.0833,98.2,28.21,78,88,1.41,MM,1624066959
477,Abaza,52.655,90.0928,23.38,50,21,0.51,RU,1624066960
478,Hillsboro,45.5229,-122.9898,27.04,46,1,7.2,US,1624066703
479,Soyo,-6.1349,12.3689,22.47,90,27,3.18,AO,1624066960
480,Paranavaí,-23.0731,-52.4653,15.67,81,96,2.62,BR,1624066960
481,Sovetskiy,61.3614,63.5842,11.72,63,80,3.27,RU,1624066961
482,Vostok,46.4856,135.8833,17.84,52,100,3.64,RU,1624066801
483,Codrington,-38.2667,141.9667,13.14,71,33,5.64,AU,1624066776
484,Solnechnyy,50.7214,136.6319,18.83,53,100,3.59,RU,1624066961
485,Eha Amufu,6.6592,7.7596,23.09,96,100,1.74,NG,1624066962
486,Upata,8.0086,-62.3989,21.96,90,33,1.98,VE,1624066962
487,Kavaratti,10.5669,72.642,28.36,75,100,9.95,IN,1624066764
488,Bull Savanna,17.8868,-77.5902,25.47,79,61,4.82,JM,1624066820
489,Abu Samrah,35.3029,37.1841,17.93,74,0,4.46,SY,1624066962
490,Worland,44.0169,-107.9554,31.71,23,1,1.79,US,1624066963
491,Belyy Yar,53.6039,91.3903,18.94,72,0,2.0,RU,1624066963
492,Puerto Madero,14.7208,-92.4215,27.11,100,40,0.0,MX,1624066963
493,Kodīnar,20.7903,70.7031,28.78,76,99,6.71,IN,1624066964
494,Porto Santo,33.072,-16.3415,18.21,63,40,5.66,PT,1624066964
495,Viedma,-40.8135,-62.9967,3.89,91,75,3.0,AR,1624066964
496,Tripoli,32.8752,13.1875,24.47,59,0,4.6,LY,1624066964
497,Champerico,14.3,-91.9167,28.53,79,100,1.09,GT,1624066965
498,Mocuba,-16.8392,36.9856,16.19,98,6,1.31,MZ,1624066965
499,Mishan,45.55,131.8833,19.57,69,72,6.43,CN,1624066965
500,Karaton,-6.3424,106.1045,28.31,76,68,1.23,ID,1624066966
501,Wake Forest,35.9799,-78.5097,25.86,66,1,2.06,US,1624066966
502,Odoyev,53.9393,36.6864,12.91,91,6,2.04,RU,1624066966
503,Pihuamo,19.2499,-103.3828,23.05,80,100,2.1,MX,1624066967
504,Moose Factory,51.2585,-80.6094,16.0,94,90,3.6,CA,1624066967
505,Bitung,1.4451,125.1824,27.47,69,90,2.66,ID,1624066732
506,Plouzané,48.3833,-4.6167,13.18,94,90,0.0,FR,1624066967
507,Xining,36.6167,101.7667,14.56,55,100,1.18,CN,1624066968
508,San Miguel de Cozumel,20.5083,-86.9458,27.84,88,98,1.79,MX,1624066968
509,Niimi,34.9833,133.4667,22.64,81,100,0.33,JP,1624066968
510,Yakeshi,49.2833,120.7333,11.1,96,100,0.98,CN,1624066968
511,Ouésso,1.6136,16.0517,21.31,90,100,0.7,CG,1624066969
512,Rawson,-43.3002,-65.1023,5.03,68,6,7.92,AR,1624066784
513,Hīt,33.6416,42.8251,27.49,29,0,9.02,IQ,1624066969
514,Estelle,29.8458,-90.1067,25.0,85,90,3.09,US,1624066969
515,Englewood,39.6478,-104.9878,29.47,28,75,3.09,US,1624066970
516,Kudat,6.8837,116.8477,27.96,78,20,2.06,MY,1624066727
517,Vila do Maio,15.1333,-23.2167,22.44,85,15,7.66,CV,1624066970
518,Mayumba,-3.432,10.6554,23.0,91,28,2.91,GA,1624066736
519,Rocha,-34.4833,-54.3333,5.99,87,19,1.01,UY,1624066971
520,Erzincan Province,39.75,39.5,14.61,67,0,1.03,TR,1624066971
521,Moundou,8.5667,16.0833,23.65,82,83,1.96,TD,1624066971
522,Fort Myers Beach,26.452,-81.9481,29.45,76,1,0.45,US,1624066706
523,Kirovskiy,45.0917,133.5136,18.96,71,89,4.81,RU,1624066972
524,Nangong,37.3581,115.3744,33.06,16,18,3.04,CN,1624066972
525,Izumo,35.3667,132.7667,23.97,83,75,5.66,JP,1624066972
526,Muisne,0.6,-80.0333,24.69,85,100,4.4,EC,1624066972
527,Durazno,-33.4131,-56.5006,3.84,86,8,3.41,UY,1624066973
528,Goderich,43.7501,-81.7165,21.18,78,4,4.63,CA,1624066749
529,Progreso,21.2833,-89.6667,26.02,87,100,1.27,MX,1624066825
530,Zhangye,38.9342,100.4517,20.05,32,100,0.7,CN,1624066973
531,Yamada,39.4667,141.95,19.13,85,100,3.74,JP,1624066974
532,Pangkah,-6.9858,109.1693,28.58,70,100,0.77,ID,1624066974
533,Yumen,40.2833,97.2,22.9,24,100,1.73,CN,1624066974
534,Santo Antônio do Içá,-3.1022,-67.9397,22.37,99,33,0.91,BR,1624066975
535,Kota Bharu,6.1333,102.2386,28.0,78,20,1.54,MY,1624066975
536,Hervey Bay,-25.2986,152.8535,20.02,53,2,2.24,AU,1624066975
537,Djambala,-2.5447,14.7533,20.58,72,97,1.57,CG,1624066976
538,Vila Franca do Campo,37.7167,-25.4333,16.23,76,77,1.75,PT,1624066775
539,Tomatlán,19.9333,-105.25,26.91,83,100,1.97,MX,1624066976
540,Batagay-Alyta,67.8006,130.4114,25.02,24,100,2.9,RU,1624066976
541,Changli,39.7042,119.1506,32.19,16,0,7.0,CN,1624066977
542,Hurghada,27.2574,33.8129,25.02,36,0,7.72,EG,1624066977
543,Barra de Tecoanapa,16.5167,-98.75,24.32,89,100,3.66,MX,1624066977
544,Maniitsoq,65.4167,-52.9,5.0,72,100,2.49,GL,1624066801
545,Witu,-2.3889,40.4382,24.04,82,96,5.35,KE,1624066978
546,Tura,25.5198,90.2201,23.65,90,99,1.23,IN,1624066831
547,Luanda,-8.8368,13.2343,23.0,94,20,1.54,AO,1624066978
548,Honiara,-9.4333,159.95,28.9,77,68,3.69,SB,1624066790
549,Normandin,48.8333,-72.5321,18.07,77,100,4.63,CA,1624066978
550,Yuma,32.7253,-114.6244,44.09,15,1,5.66,US,1624066719
551,Hollins,37.3413,-79.9431,25.6,75,75,0.45,US,1624066979
552,Maun,-19.9833,23.4167,14.98,44,0,3.6,BW,1624066979
553,Fort Nelson,58.8053,-122.7002,21.77,26,40,3.09,CA,1624066828
554,Padang,-0.9492,100.3543,27.73,58,100,0.7,ID,1624066754
555,Moerai,-22.4333,-151.3333,24.28,84,65,6.69,PF,1624066980
556,Christchurch,-43.5333,172.6333,8.84,82,75,0.89,NZ,1624066880
557,Fukuechō,32.6881,128.8419,23.2,88,75,3.09,JP,1624066980
558,Lingao,19.9103,109.6859,32.7,56,12,6.42,CN,1624066981
559,Sonthofen,47.5167,10.2833,20.21,87,87,0.45,DE,1624066981
560,Dwārāhāt,29.7833,79.4333,17.71,98,100,0.99,IN,1624066981
561,Kenai,60.5544,-151.2583,18.05,52,90,5.14,US,1624066747
562,La Bañeza,42.3003,-5.8977,12.03,95,46,0.56,ES,1624066982
